name,symbol,weight
REDWOOD TRUST REIT INC,RWT,0.000699
CYS INVESTMENTS INC,CYS,0.000697
ENSIGN GROUP INC.,ENSG,0.000695
HEICO CORP.,HEI,0.000695
EMERGENT BIOSOLUTIONS INC.,EBS,0.000692
SELECT COMFORT CORP.,SCSS,0.000691
PLEXUS CORP.,PLXS,0.000691
KAMAN CORP.,KAMN,0.000687
CALERES INC,CAL,0.000686
AMERICAN AXLE & MANUFACTURING HOLD,AXL,0.000686
KNOWLES CORP,KN,0.000685
SCHOLASTIC CORP.,SCHL,0.000683
EXAMWORKS GROUP INC.,EXAM,0.000682
AMEDISYS INC.,AMED,0.000681
DIAMOND FOODS INC.,DMND,0.000681
SCORPIO TANKERS INC,STNG,0.000678
QLOGIC CORP.,QLGC,0.000674
BRADY CORP. CL A,BRC,0.000673
FIRST FINANCIAL BANCORP (OHIO),FFBC,0.000673
LEGACYTEXAS FINANCIAL GROUP INC,LTXB,0.000672
E.W. SCRIPPS CO. CL A,SSP,0.000666
SPS COMMERCE INC.,SPSC,0.000665
PATTERN ENERGY GROUP INC CLASS A,PEGI,0.000664
METHODE ELECTRONICS INC.,MEI,0.000662
BENCHMARK ELECTRONICS INC.,BHE,0.000662
OTTER TAIL CORP.,OTTR,0.000661
PEP BOYS MANNY MOE AND JACK,PBY,0.000661
SHENANDOAH TELECOMMUNICATIONS CO.,SHEN,0.00066
STRATASYS LTD,SSYS,0.00066
HMS HOLDINGS CORP.,HMSY,0.000655
HFF INC. CL A,HF,0.000653
AMERIS BANCORP,ABCB,0.000653
THIRD POINT REINSURANCE LTD,TPRE,0.000652
CATO CORP. CL A,CATO,0.000651
EVERTEC INC,EVTC,0.00065
MATADOR RESOURCES,MTDR,0.00065
PAYCOM SOFTWARE INC,PAYC,0.000649
WEST CORP.,WSTC,0.000649
STURM RUGER INC CO,RGR,0.000647
HRG GROUP INC,HRG,0.000647
MASTEC INC.,MTZ,0.000647
TENNANT CO.,TNC,0.000647
CABOT MICROELECTRONICS CORP.,CCMP,0.000644
NEENAH PAPER INC.,NP,0.000643
CONSOLIDATED COMMUNICATIONS HOLDIN,CNSL,0.000643
COOPER STANDARD HOLDINGS INC,CPS,0.000642
DIGITALGLOBE INC.,DGI,0.000642
OMNICELL INC.,OMCL,0.00064
INPHI CORP,IPHI,0.00064
FIESTA RESTAURANT GROUP INC.,FRGI,0.000639
APOLLO COMMERCIAL REAL ESTATE FINA,ARI,0.000638
S&T BANCORP INC.,STBA,0.000634
WERNER ENTERPRISES INC.,WERN,0.000632
8X8 INC.,EGHT,0.000629
DIAMOND RESORTS INTERNATIONAL INC,DRII,0.000628
TERRENO REALTY CORP.,TRNO,0.000626
ENPRO INDUSTRIES INC.,NPO,0.000626
EXELIXIS INC.,EXEL,0.000626
HUBSPOT INC,HUBS,0.000625
STANDEX INTERNATIONAL CORP.,SXI,0.000624
UNITED COMMUNITY BANKS INC.,UCBI,0.000623
QUAKER CHEMICAL CORP.,KWR,0.000622
PHARMERICA CORP.,PMC,0.000621
BROADSOFT INC.,BSFT,0.000621
KRISPY KREME DOUGHNUTS INC.,KKD,0.000619
VITAMIN SHOPPE INC.,VSI,0.000619
THERAPEUTICSMD INC,TXMD,0.000619
ALBANY INTERNATIONAL CORP. CL A,AIN,0.000618
INLAND REAL ESTATE CORP.,IRC,0.000618
INFOBLOX INC,BLOX,0.000616
CUBIC CORP.,CUB,0.000616
ENVESTNET INC.,ENV,0.000614
ACHILLION PHARMACEUTICALS INC.,ACHN,0.000614
INSMED INC,INSM,0.000613
SUPER MICRO COMPUTER INC.,SMCI,0.000613
TRUEBLUE INC.,TBI,0.00061
MIMEDX GROUP INC,MDXG,0.00061
ANALOGIC CORP.,ALOG,0.000608
SEMGROUP CORP. CL A,SEMG,0.000607
ISTAR REIT INC,STAR,0.000607
AMERISAFE INC.,AMSF,0.000606
STORE CAPITAL CORP,STOR,0.000606
SERVISFIRST BANCSHARES INC,SFBS,0.000605
VONAGE HOLDINGS CORP.,VG,0.000604
FRESH MARKET INC,TFM,0.000604
CALLIDUS SOFTWARE INC.,CALD,0.000603
IROBOT CORP.,IRBT,0.000602
CONSTANT CONTACT INC,CTCT,0.000601
AEROJET ROCKETDYNE HOLDINGS INC,AJRD,0.000601
TOWNE BANK,TOWN,0.000597
TUMI HOLDINGS INC,TUMI,0.000597
ARIAD PHARMACEUTICALS INC.,ARIA,0.000597
BJS RESTAURANTS INC.,BJRI,0.000596
GOVERNMENT PROPERTIES INCOME TRUST,GOV,0.000595
LANNETT COMPANY INC,LCI,0.000594
SURGICAL CARE AFFILIATES INC,SCAI,0.000593
FRANKLIN STREET PROPERTIES REIT CO,FSP,0.000592
INFINITY PROPERTY & CASUALTY CORP.,IPCC,0.000591
FEDERAL SIGNAL CORP.,FSS,0.000589
WSFS FINANCIAL CORP.,WSFS,0.000587
NATIONAL CINEMEDIA INC.,NCMI,0.000587
FCB FINANCIAL HOLDINGS INC CLASS A,FCB,0.000587
BANNER CORP.,BANR,0.000586
OXFORD INDUSTRIES INC.,OXM,0.000585
MONOTYPE IMAGING HOLDINGS INC.,TYPE,0.000585
SUMMIT HOTEL PROPERTIES INC.,INN,0.000583
II-VI INC.,IIVI,0.000581
M.D.C. HOLDINGS INC.,MDC,0.00058
AMERICAN WOODMARK CORP.,AMWD,0.000579
INSIGHT ENTERPRISES INC.,NSIT,0.000579
INTERNATIONAL SPEEDWAY CORP. CL A,ISCA,0.000578
STEPAN CO.,SCL,0.000577
PEGASYSTEMS INC.,PEGA,0.000577
REXFORD INDUSTRIAL REALTY REIT INC,REXR,0.000576
FIRST MERCHANTS CORP.,FRME,0.000575
BOSTON PRIVATE FINANCIAL HOLDINGS,BPFH,0.000574
UBIQUITI NETWORKS INC.,UBNT,0.000573
NAVIGATORS GROUP INC.,NAVG,0.000572
ADTRAN INC.,ADTN,0.000572
ZELTIQ AESTHETICS INC,ZLTQ,0.000571
US SILICA HOLDINGS INC,SLCA,0.00057
ESCO TECHNOLOGIES INC.,ESE,0.000568
FELCOR LODGING TRUST REIT INC,FCH,0.000567
M A-COM TECHNOLOGY SOLUTIONS HOLDI,MTSI,0.000566
MATTRESS FIRM HOLDING CORP.,MFRM,0.000566
TALMER BANCORP INC CLASS A,TLMR,0.000564
ABENGOA YIELD PLC,ABY,0.000564
GRAY TELEVISION INC.,GTN,0.000563
CYNOSURE INC. CL A,CYNO,0.000562
QUALITY SYSTEMS INC.,QSII,0.000562
HERSHA HOSPITALITY TRUST CLASS A,HT,0.000561
SHIP FINANCE INTERNATIONAL LTD.,SFL,0.000559
CHESAPEAKE UTILITIES CORP.,CPK,0.000559
ATLAS AIR WORLDWIDE HOLDINGS,AAWW,0.000559
DYNAVAX TECHNOLOGIES CORP,DVAX,0.000558
GREIF INC. CL A,GEF,0.000557
DAVE AND BUSTERS ENTERTAINMENT INC,PLAY,0.000557
KB HOME,KBH,0.000554
KNOLL INC.,KNL,0.000554
LUMINEX CORP,LMNX,0.000553
PRA HEALTH SCIENCES INC,PRAH,0.000553
WAYFAIR INC CLASS A,W,0.000552
TESARO INC,TSRO,0.000551
GOGO INC,GOGO,0.00055
INSPERITY INC.,NSP,0.00055
TASER INTERNATIONAL INC.,TASR,0.000549
MBIA INC.,MBI,0.000548
SAFETY INSURANCE GROUP INC.,SAFT,0.000547
RED ROBIN GOURMET BURGERS INC.,RRGB,0.000547
AAR CORP.,AIR,0.000546
COLONY STARWOOD HOMES REIT,SFR,0.000544
AAON INC.,AAON,0.000544
PENNYMAC MORTGAGE INVESTMENT TRUST,PMT,0.000543
CAPSTEAD MORTGAGE CORP.,CMO,0.00054
IMMUNOGEN INC.,IMGN,0.000538
HEALTHEQUITY INC,HQY,0.000537
ARMOUR RESIDENTIAL REIT INC,ARR,0.000536
TRIMAS CORP.,TRS,0.000535
SEACOR HOLDINGS INC.,CKH,0.000535
INVESTORS REAL ESTATE TRUST REIT,IRET,0.000535
ROGERS CORP.,ROG,0.000534
BELMOND LTD CLASS A,BEL,0.000534
BERKSHIRE HILLS BANCORP INC.,BHLB,0.000534
HEARTLAND EXPRESS INC.,HTLD,0.000534
EBIX INC.,EBIX,0.000529
WEB.COM GROUP INC,WEB,0.000529
FABRINET,FN,0.000529
MOMENTA PHARMACEUTICALS INC.,MNTA,0.000528
MDC PARTNERS INC CLASS A,MDCA,0.000527
PHOTRONICS INC.,PLAB,0.000527
CALGON CARBON CORP.,CCC,0.000527
BOB EVANS FARMS INC.,BOBE,0.000526
MTS SYSTEMS CORP.,MTSC,0.000526
SCANSOURCE INC.,SCSC,0.000525
DEPOMED INC.,DEPO,0.000525
BADGER METER INC.,BMI,0.000524
NRG YIELD INC CLASS C,NYLD,0.000523
COCA-COLA BOTTLING CO. CONSOLIDATE,COKE,0.000523
BOISE CASCADE COMPANY,BCC,0.000523
ANDERSONS INC.,ANDE,0.000521
ATLANTIC TELE-NETWORK INC.,ATNI,0.000521
MAXLINEAR INC.,MXL,0.000519
ALEXANDERS REIT INC,ALX,0.000519
MARKETO INC,MKTO,0.000517
TOMPKINS FINANCIAL CORP,TMP,0.000515
AMAG PHARMACEUTICALS INC.,AMAG,0.000515
EMPLOYERS HOLDINGS INC.,EIG,0.000514
DENNYS CORP.,DENN,0.000514
FINISH LINE INC. CL A,FINL,0.000514
FNFV GROUP INC,FNFV,0.000513
ASTRONICS CORP.,ATRO,0.000513
LINDSAY CORP.,LNN,0.000511
VIRGIN AMERICA INC,VA,0.000511
PACIFIC BIOSCIENCES OF CALIFORNIA,PACB,0.00051
PRIMORIS SERVICES CORP.,PRIM,0.00051
STEWART INFORMATION SERVICES CORP.,STC,0.00051
PTC THERAPEUTICS INC,PTCT,0.00051
BANKRATE INC.,RATE,0.000509
AVG TECHNOLOGIES NV NV,AVG,0.000508
TIVO INC.,TIVO,0.000507
BUCKLE INC.,BKE,0.000507
OASIS PETROLEUM INC.,OAS,0.000507
MERIDIAN BIOSCIENCE INC.,VIVO,0.000506
REPLIGEN CORP.,RGEN,0.000505
AMICUS THERAPEUTICS INC,FOLD,0.000505
BROOKLINE BANCORP INC.,BRKL,0.000504
FIVE PRIME THERAPEUTICS INC,FPRX,0.000504
NEW SENIOR INVESTMENT GROUP INC,SNR,0.000503
NATIONAL GENERAL HOLDINGS CORP,NGHC,0.000503
KINDRED HEALTHCARE INC.,KND,0.000499
NEW MEDIA INVESTMENT GROUP INC,NEWM,0.000498
SKYWEST INC.,SKYW,0.000498
DIODES INC.,DIOD,0.000497
AXIALL CORP,AXLL,0.000497
NAVIGANT CONSULTING INC.,NCI,0.000493
STILLWATER MINING,SWC,0.000491
FIRST COMMONWEALTH FINANCIAL CORP.,FCF,0.00049
UNITED FIRE GROUP INC,UFCS,0.000489
CALAVO GROWERS INC.,CVGW,0.000488
WILSHIRE BANCORP INC.,WIBC,0.000488
US ECOLOGY INC.,ECOL,0.000487
ORTHOFIX INTERNATIONAL N.V.,OFIX,0.000486
CHATHAM LODGING TRUST REIT,CLDT,0.000484
SPARTANNASH,SPTN,0.000482
MULTI-COLOR CORP.,LABL,0.000482
ACCELERON PHARMA INC,XLRN,0.000481
CAVCO INDUSTRIES INC.,CVCO,0.00048
QUALYS INC,QLYS,0.000476
WABASH NATIONAL CORP.,WNC,0.000476
STANDARD MOTOR PRODUCTS INC.,SMP,0.000475
CVENT INC,CVT,0.000475
ENCORE WIRE CORP.,WIRE,0.000475
CLEARWATER PAPER CORP.,CLW,0.000475
FRANCESCAS HOLDINGS CORP,FRAN,0.000474
GREEN DOT CORP. CL A,GDOT,0.000473
MACROGENICS INC,MGNX,0.000473
NELNET INC CLASS A,NNI,0.000472
LAKELAND FINANCIAL CORP.,LKFN,0.000472
BRIGGS & STRATTON CORP.,BGG,0.000472
STATE BANK FINANCIAL CORP.,STBZ,0.000471
RUCKUS WIRELESS INC,RKUS,0.000469
NORTHFIELD BANCORP INC.,NFBK,0.000469
INNOVIVA INC,INVA,0.000469
MANTECH INTERNATIONAL CORP CLASS A,MANT,0.000467
MERIDIAN BANCORP INC,EBSB,0.000467
FERRO CORP.,FOE,0.000467
MERIT MEDICAL SYSTEMS INC.,MMSI,0.000466
CASH AMERICA INTERNATIONAL INC,CSH,0.000465
ST. JOE CO.,JOE,0.000465
BRISTOW GROUP INC.,BRS,0.000465
VEECO INSTRUMENTS INC.,VECO,0.000463
MERRIMACK PHARMACEUTICALS INC,MACK,0.000461
