name,symbol,weight
Cardinal Health Inc.,CAH,0.00155321
Yahoo! Inc.,YHOO,0.00154467
PG&E Corporation,PCG,0.00153603
Exelon Corporation,EXC,0.00152128
American Airlines Group Inc.,AAL,0.00151733
PPG Industries Inc.,PPG,0.00151382
Constellation Brands Inc. Class A,STZ,0.00150722
Aflac Incorporated,AFL,0.00147107
Humana Inc.,HUM,0.00146577
AvalonBay Communities Inc.,AVB,0.00146395
Intuit Inc.,INTU,0.0014606
Carnival Corporation,CCL,0.00145654
Illumina Inc.,ILMN,0.00145463
Kinder Morgan Inc Class P,KMI,0.0014314
Vertex Pharmaceuticals Incorporated,VRTX,0.00142999
Boston Scientific Corporation,BSX,0.0014256
L Brands Inc.,LB,0.00142499
Welltower Inc.,HCN,0.00142312
Aon plc,AON,0.00142039
OReilly Automotive Inc.,ORLY,0.00140568
Air Products and Chemicals Inc.,APD,0.00138803
Synchrony Financial,SYF,0.00138638
Hewlett Packard Enterprise Co.,HPE,0.00138434
State Street Corporation,STT,0.0013836
McGraw Hill Financial Inc.,MHFI,0.00137838
Deere & Company,DE,0.00136701
Eaton Corp. Plc,ETN,0.00136087
Johnson Controls Inc.,JCI,0.00136087
Marathon Petroleum Corporation,MPC,0.00136023
PPL Corporation,PPL,0.00135918
Allstate Corporation,ALL,0.00135365
TE Connectivity Ltd.,TEL,0.00133121
CSX Corporation,CSX,0.00131516
Monster Beverage Corporation,MNST,0.0013132
Waste Management Inc.,WM,0.00130995
Baxalta Inc.,BXLT,0.00130639
AutoZone Inc.,AZO,0.00130412
Norfolk Southern Corporation,NSC,0.00129211
Sempra Energy,SRE,0.00127591
Ross Stores Inc.,ROST,0.00127588
Discover Financial Services,DFS,0.00127463
Prologis Inc.,PLD,0.001271
Sysco Corporation,SYY,0.00126134
Perrigo Co. Plc,PRGO,0.00125361
HCA Holdings Inc.,HCA,0.00123075
Intuitive Surgical Inc.,ISRG,0.00123045
Mylan N.V.,MYL,0.00121954
Corning Incorporated,GLW,0.00121793
Dollar General Corporation,DG,0.00121103
Archer-Daniels-Midland Company,ADM,0.00120577
Fiserv Inc.,FISV,0.00119774
Delphi Automotive PLC,DLPH,0.00119718
Zoetis Inc. Class A,ZTS,0.00118821
